FCEUX 2.1.6-interim svn2687 - Trace Log File
  $8734:55 26     EOR $26,X @ $0027 = #$98                                       A:4C X:01 Y:00 S:FD 
  $8736:F5 24     SBC $24,X @ $0025 = #$D3                                       A:D4 X:01 Y:00 S:FD 
  $8738:7D 1B 04  ADC $041B,X @ $041C = #$00                                     A:01 X:01 Y:00 S:FD 
  $873B:65 0B     ADC $000B = #$F0                                               A:02 X:01 Y:00 S:FD 
  $873D:95 25     STA $25,X @ $0026 = #$40                                       A:F2 X:01 Y:00 S:FD 
  $873F:CA        DEX                                                            A:F2 X:01 Y:00 S:FD 
  $8740:10 E8     BPL $872A                                                      A:F2 X:00 Y:00 S:FD 
  $872A:B5 25     LDA $25,X @ $0025 = #$D3                                       A:F2 X:00 Y:00 S:FD 
  $872C:65 0B     ADC $000B = #$F0                                               A:D3 X:00 Y:00 S:FD 
  $872E:ED FD 03  SBC $03FD = #$15                                               A:C3 X:00 Y:00 S:FD 
  $8731:4D 57 04  EOR $0457 = #$50                                               A:AE X:00 Y:00 S:FD 
  $8734:55 26     EOR $26,X @ $0026 = #$F2                                       A:FE X:00 Y:00 S:FD 
  $8736:F5 24     SBC $24,X @ $0024 = #$83                                       A:0C X:00 Y:00 S:FD 
  $8738:7D 1B 04  ADC $041B,X @ $041B = #$00                                     A:89 X:00 Y:00 S:FD 
  $873B:65 0B     ADC $000B = #$F0                                               A:89 X:00 Y:00 S:FD 
  $873D:95 25     STA $25,X @ $0025 = #$D3                                       A:79 X:00 Y:00 S:FD 
  $873F:CA        DEX                                                            A:79 X:00 Y:00 S:FD 
  $8740:10 E8     BPL $872A                                                      A:79 X:FF Y:00 S:FD 
  $8742:60        RTS (from $8728) ----------------------------------------------A:79 X:FF Y:00 S:FD 
$8722:20 43 87  JSR $8743                                                      A:79 X:FF Y:00 S:FF 
  $8743:A5 25     LDA $0025 = #$79                                               A:79 X:FF Y:00 S:FD 
  $8745:45 28     EOR $0028 = #$EC                                               A:79 X:FF Y:00 S:FD 
  $8747:65 27     ADC $0027 = #$98                                               A:95 X:FF Y:00 S:FD 
  $8749:85 26     STA $0026 = #$F2                                               A:2E X:FF Y:00 S:FD 
  $874B:A5 27     LDA $0027 = #$98                                               A:2E X:FF Y:00 S:FD 
  $874D:2A        ROL                                                            A:98 X:FF Y:00 S:FD 
  $874E:E5 28     SBC $0028 = #$EC                                               A:31 X:FF Y:00 S:FD 
  $8750:85 27     STA $0027 = #$98                                               A:45 X:FF Y:00 S:FD 
  $8752:45 26     EOR $0026 = #$2E                                               A:45 X:FF Y:00 S:FD 
  $8754:85 25     STA $0025 = #$79                                               A:6B X:FF Y:00 S:FD 
  $8756:60        RTS (from $8743) ----------------------------------------------A:6B X:FF Y:00 S:FD 
$8725:4C 1F 87  JMP $871F                                                      A:6B X:FF Y:00 S:FF 
$871F:20 28 87  JSR $8728                                                      A:6B X:FF Y:00 S:FF 
     $FF98:86 76     STX $0076 = #$00                                               A:6B X:FF Y:00 S:FA 
     $FF9A:85 75     STA $0075 = #$18                                               A:6B X:FF Y:00 S:FA 
     $FF9C:A9 00     LDA #$00                                                       A:6B X:FF Y:00 S:FA 
     $FF9E:A2 00     LDX #$00                                                       A:00 X:FF Y:00 S:FA 
     $FFA0:8E B3 FF  STX $FFB3 = #$00                                               A:00 X:00 Y:00 S:FA 
     $FFA3:4C 75 FE  JMP $FE75                                                      A:00 X:00 Y:00 S:FA 
     $FE75:85 2E     STA $002E = #$00                                               A:00 X:00 Y:00 S:FA 
     $FE77:8E 01 20  STX $2001 = #$18                                               A:00 X:00 Y:00 S:FA 
     $FE7A:8E 03 20  STX $2003 = #$00                                               A:00 X:00 Y:00 S:FA 
     $FE7D:A9 02     LDA #$02                                                       A:00 X:00 Y:00 S:FA 
     $FE7F:8D 14 40  STA $4014 = #$02                                               A:02 X:00 Y:00 S:FA 
     $FE82:A5 09     LDA $0009 = #$90                                               A:02 X:00 Y:00 S:FA 
     $FE84:10 0D     BPL $FE93                                                      A:90 X:00 Y:00 S:FA 
     $FE86:29 7F     AND #$7F                                                       A:90 X:00 Y:00 S:FA 
     $FE88:8D 00 20  STA $2000 = #$90                                               A:10 X:00 Y:00 S:FA 
     $FE8B:AD 02 20  LDA $2002 = #$D0                                               A:10 X:00 Y:00 S:FA 
     $FE8E:CA        DEX                                                            A:D0 X:00 Y:00 S:FA 
     $FE8F:9A        TXS                                                            A:D0 X:FF Y:00 S:FA 
$FE90:6C 23 00  JMP ($0023) = $83A4                                            A:D0 X:FF Y:00 S:FF 
$83A4:20 08 81  JSR $8108                                                      A:D0 X:FF Y:00 S:FF 
  $8108:BA        TSX                                                            A:D0 X:FF Y:00 S:FD 
  $8109:86 2F     STX $002F = #$FD                                               A:D0 X:FD Y:00 S:FD 
  $810B:A5 30     LDA $0030 = #$01                                               A:D0 X:FD Y:00 S:FD 
  $810D:F0 C5     BEQ $80D4                                                      A:01 X:FD Y:00 S:FD 
  $810F:A9 04     LDA #$04                                                       A:01 X:FD Y:00 S:FD 
  $8111:8D 00 20  STA $2000 = #$10                                               A:04 X:FD Y:00 S:FD 
  $8114:85 15     STA $0015 = #$00                                               A:04 X:FD Y:00 S:FD 
  $8116:A2 03     LDX #$03                                                       A:04 X:FD Y:00 S:FD 
  $8118:CA        DEX                                                            A:04 X:03 Y:00 S:FD 
  $8119:D0 FD     BNE $8118                                                      A:04 X:02 Y:00 S:FD 
  $8118:CA        DEX                                                            A:04 X:02 Y:00 S:FD 
  $8119:D0 FD     BNE $8118                                                      A:04 X:01 Y:00 S:FD 
  $8118:CA        DEX                                                            A:04 X:01 Y:00 S:FD 
  $8119:D0 FD     BNE $8118                                                      A:04 X:00 Y:00 S:FD 
  $811B:A9 20     LDA #$20                                                       A:04 X:00 Y:00 S:FD 
  $811D:8D 06 20  STA $2006 = #$1B                                               A:20 X:00 Y:00 S:FD 
  $8120:A5 98     LDA $0098 = #$1B                                               A:20 X:00 Y:00 S:FD 
  $8122:8D 06 20  STA $2006 = #$1B                                               A:1B X:00 Y:00 S:FD 
  $8125:A0 02     LDY #$02                                                       A:1B X:00 Y:00 S:FD 
  $8127:A5 83     LDA $0083 = #$40                                               A:1B X:00 Y:02 S:FD 
  $8129:49 FF     EOR #$FF                                                       A:40 X:00 Y:02 S:FD 
  $812B:38        SEC                                                            A:BF X:00 Y:02 S:FD 
  $812C:E9 10     SBC #$10                                                       A:BF X:00 Y:02 S:FD 
  $812E:29 F8     AND #$F8                                                       A:AF X:00 Y:02 S:FD 
  $8130:4A        LSR                                                            A:A8 X:00 Y:02 S:FD 
  $8131:85 17     STA $0017 = #$21                                               A:54 X:00 Y:02 S:FD 
  $8133:4A        LSR                                                            A:54 X:00 Y:02 S:FD 
  $8134:4A        LSR                                                            A:2A X:00 Y:02 S:FD 
  $8135:AA        TAX                                                            A:15 X:00 Y:02 S:FD 
  $8136:CA        DEX                                                            A:15 X:15 Y:02 S:FD 
  $8137:9A        TXS                                                            A:15 X:14 Y:02 S:FD 
           $8138:A5 17     LDA $0017 = #$54                                               A:15 X:14 Y:02 S:14 
           $813A:18        CLC                                                            A:54 X:14 Y:02 S:14 
           $813B:69 2E     ADC #$2E                                                       A:54 X:14 Y:02 S:14 
           $813D:85 1F     STA $001F = #$00                                               A:82 X:14 Y:02 S:14 
           $813F:A9 82     LDA #$82                                                       A:82 X:14 Y:02 S:14 
           $8141:69 00     ADC #$00                                                       A:82 X:14 Y:02 S:14 
           $8143:85 20     STA $0020 = #$40                                               A:82 X:14 Y:02 S:14 
           $8145:6C 1F 00  JMP ($001F) = $8282                                            A:82 X:14 Y:02 S:14 
           $8282:68        PLA                                                            A:82 X:14 Y:02 S:14 
          $8283:8D 07 20  STA $2007 = #$00                                               A:A5 X:14 Y:02 S:15 
          $8286:68        PLA                                                            A:A5 X:14 Y:02 S:15 
         $8287:8D 07 20  STA $2007 = #$00                                               A:9A X:14 Y:02 S:16 
         $828A:68        PLA                                                            A:9A X:14 Y:02 S:16 
        $828B:8D 07 20  STA $2007 = #$00                                               A:10 X:14 Y:02 S:17 
        $828E:68        PLA                                                            A:10 X:14 Y:02 S:17 
       $828F:8D 07 20  STA $2007 = #$00                                               A:1C X:14 Y:02 S:18 
       $8292:68        PLA                                                            A:1C X:14 Y:02 S:18 
      $8293:8D 07 20  STA $2007 = #$00                                               A:28 X:14 Y:02 S:19 
      $8296:68        PLA                                                            A:28 X:14 Y:02 S:19 
     $8297:8D 07 20  STA $2007 = #$00                                               A:34 X:14 Y:02 S:1A 
     $829A:68        PLA                                                            A:34 X:14 Y:02 S:1A 
    $829B:8D 07 20  STA $2007 = #$00                                               A:40 X:14 Y:02 S:1B 
    $829E:68        PLA                                                            A:40 X:14 Y:02 S:1B 
   $829F:8D 07 20  STA $2007 = #$00                                               A:4C X:14 Y:02 S:1C 
   $82A2:68        PLA                                                            A:4C X:14 Y:02 S:1C 
  $82A3:8D 07 20  STA $2007 = #$00                                               A:30 X:14 Y:02 S:1D 
  $82A6:4C 48 81  JMP $8148                                                      A:30 X:14 Y:02 S:1D 
  $8148:88        DEY                                                            A:30 X:14 Y:02 S:1D 
  $8149:F0 4A     BEQ $8195                                                      A:30 X:14 Y:01 S:1D 
  $814B:A5 15     LDA $0015 = #$04                                               A:30 X:14 Y:01 S:1D 
  $814D:10 03     BPL $8152                                                      A:04 X:14 Y:01 S:1D 
  $8152:D0 37     BNE $818B                                                      A:04 X:14 Y:01 S:1D 
  $818B:A2 FF     LDX #$FF                                                       A:04 X:14 Y:01 S:1D 
  $818D:9A        TXS                                                            A:04 X:FF Y:01 S:1D 
$818E:A9 78     LDA #$78                                                       A:04 X:FF Y:01 S:FF 
$8190:38        SEC                                                            A:78 X:FF Y:01 S:FF 
$8191:E5 17     SBC $0017 = #$54                                               A:78 X:FF Y:01 S:FF 
$8193:B0 A5     BCS $813A                                                      A:24 X:FF Y:01 S:FF 
$813A:18        CLC                                                            A:24 X:FF Y:01 S:FF 
